Unnamed: 0,situation,emotion
13223,Waiting for the marks back on my math test. I studied quite hard.,hopeful
13224,My pet gecko died :(,sad
13225,Customer service sent me two bad vacuums now. Well the second works but the stretcher pole thing that is metal doesn't work right. Sigh..,annoyed
13226,I felt pretty good about this past weekend. I had a date I was looking forward to it,confident
13227,Took an 8 hour flight and was pleasantly surprised that the airline had free movies you could connect your device to and watch!,impressed
13228,When I got my hair cut and a new jacket. I was very stylish.,confident
13229,When my daughter ate a food she's never had before for the first time!,impressed
13230,"I was devestated when my grandmother passed away, I could not handle that at all",devastated
13231,"I am content with my life right now, everything is going well for the most part",content
13232,I was scared and alone when my aunt died. It was so random,terrified
13233,When my friend made a soccer team we both tried out for. We both made it.,proud
13234,I was very lonely before I met my friends and current girlfriend,lonely
13235,"I'm sad, tomorrow I have to go back to school and I'm going to miss the summer with my old friends.",sad
13236,I had been trying to have a baby for a long time. Suddenly I found out I was pregnant. I was so happy. ,joyful
13237,The time I broke my mothers favorite vase while playing around it. I didn't mean too.,ashamed
13238,My dog snoop died after a long fight with cancer. He was so loved.,sad
13239,I got a call about about an application I put in for a new job today.,hopeful
13240,"I am going sky diving this weekend!  I am super pumped, but a little nervous because I have to put a lot of faith in the sky diving instructor.",trusting
13241,I was very alone before I met my friends and current girlfriend,lonely
13242,I setup a job interview for next week. I think i'm going to get the job.,confident
13243,"I'm afraid of my new apartment complex, a lot of sketchy people out at all hours of the day.",afraid
13244,"This weekend, a guy totally drunk has hit very badly my car.",furious
13245,We have been looking for a house for a few months and finally found one that we love. We put in an offer.,hopeful
13246,I am not sure about my new job. I was excited but I dont think its right for me,apprehensive
13247,"I had to go to the doctor's for my annual check-up, I always think they're going to find something wrong.",anxious
13248,"I think the Eagles can win the superbowl again this year, they are looking really good",confident
13249,I am going to be happy this week. I have family coming into town,joyful
13250,"I am happy with my life right now, everything is going well for the most part",content
13251,I just knew I was going to pass my drivers test for work. I studied hard for it,confident
13252,"The bonus for everyone at my company was last week, and you have to have been with the company for over 90 days to get it. My friend was at 94 days and I was at 88 days. It really stinks, I have to wait another year. ",jealous
13253,it was suprising when i got approved for the week off,surprised
13254,I am going to have a quiet night alone tonight. I cant wait,anxious
13255,My cat ignores me sometimes and just stares into the distance,lonely
13256,I do have some faith its going to be a good week. The weather should be nice,hopeful
13257,My neighbor brought me dinner tonight.,surprised
13258,"I am thinking the Eagles can repeat this year, I hope so!",hopeful
13259,"The last of my kids going to school starting tomorrow, and the amount of peace I will have!",guilty
13260,My friend got drunk over the weekend and I had to take care of him. It was pretty irritating,annoyed
13261,I feel guilty about breaking our television,guilty
13262,I'm looking forward to the future.,anticipating
13263,My brother shocked me a bit with a nice present last week. I loved it,surprised
13264,i was crushed when i saw my dog had gotten loose,devastated
13265,I got pretty mad last week when they did not spray at my apartment. I have bugs now,furious
13266,My coworker got the promotion I wanted,jealous
13267,I have first date on Friday and I'm really nervous. I haven't been on a date in a while.,apprehensive
13268,i was thankful that i got the weekend off,grateful
13269,I'm happy with myself for my commitment to my family.,proud
13270,I just found out I got into medical school.  I have worked so hard for years just to be able to get accepted,joyful
13271,I found some old pictures from when I was a kid.,nostalgic
13272,i was pissed when i saw my door had been hit,angry
13273,I got pretty happy and content over the weekend. I got to smoke a cigar and read comics,joyful
13274,I hired a tree guy to trim some really high branches.  He monkeyed up that tree super fast!  It was amazing to watch!,impressed
13275,i have lost over 30 pounds in the last year,proud
13276,I ate some bad meat this morning. It made me really sick,disgusted
13277,My dog died and my parents didn't tell me. It was six months ago! They are jerks!,furious
13278,I am going to be pretty happy and joyful next week thinking my next trip. We are going to asheville,excited
